instrument_key,exchange_token,tradingsymbol,name,last_price,expiry,strike,tick_size,lot_size,instrument_type,option_type,exchange
NSE_FO|35346,35346,NIFTY27DEC30000CE,NIFTY,1877.7,30-Dec-2027,30000,0.05,75,OPTIDX,CE,NSE_FO
NSE_FO|50971,50971,NIFTY25DEC27000CE,NIFTY,459.55,24-Dec-2025,27000,0.05,75,OPTIDX,CE,NSE_FO
NSE_FO|50972,50972,NIFTY25DEC27000PE,NIFTY,1315.85,24-Dec-2025,27000,0.05,75,OPTIDX,PE,NSE_FO
NSE_FO|50973,50973,NIFTY26JUN27000CE,NIFTY,1352.8,25-Jun-2026,27000,0.05,75,OPTIDX,CE,NSE_FO
NSE_FO|50976,50976,NIFTY26JUN27000PE,NIFTY,6810.7,25-Jun-2026,27000,0.05,75,OPTIDX,PE,NSE_FO
NSE_FO|50978,50978,NIFTY26DEC27000CE,NIFTY,1955.9,31-Dec-2026,27000,0.05,75,OPTIDX,CE,NSE_FO
NSE_FO|50979,50979,NIFTY26DEC27000PE,NIFTY,1425.0,31-Dec-2026,27000,0.05,75,OPTIDX,PE,NSE_FO
NSE_FO|35352,35352,NIFTY28JUN30000CE,NIFTY,2278.45,29-Jun-2028,30000,0.05,75,OPTIDX,CE,NSE_FO
NSE_FO|35353,35353,NIFTY28JUN30000PE,NIFTY,3779.25,29-Jun-2028,30000,0.05,75,OPTIDX,PE,NSE_FO
NSE_FO|35347,35347,NIFTY27DEC30000PE,NIFTY,4140.9,30-Dec-2027,30000,0.05,75,OPTIDX,PE,NSE_FO
NSE_FO|50981,50981,NIFTY27JUN27000CE,NIFTY,1932.5,24-Jun-2027,27000,0.05,75,OPTIDX,CE,NSE_FO
NSE_FO|50984,50984,NIFTY27JUN27000PE,NIFTY,6273.45,24-Jun-2027,27000,0.05,75,OPTIDX,PE,NSE_FO
NSE_FO|60381,60381,NIFTY25SEP24100PE,NIFTY,123.3,25-Sep-2025,24100,0.05,75,OPTIDX,PE,NSE_FO
NSE_FO|60382,60382,NIFTY25SEP24150CE,NIFTY,1782.6,25-Sep-2025,24150,0.05,75,OPTIDX,CE,NSE_FO
NSE_FO|60377,60377,NIFTY25SEP24100CE,NIFTY,1915.1,25-Sep-2025,24100,0.05,75,OPTIDX,CE,NSE_FO
NSE_FO|60374,60374,NIFTY25SEP24050PE,NIFTY,116.55,25-Sep-2025,24050,0.05,75,OPTIDX,PE,NSE_FO
NSE_FO|60372,60372,NIFTY25SEP23950PE,NIFTY,105.6,25-Sep-2025,23950,0.05,75,OPTIDX,PE,NSE_FO
NSE_FO|60373,60373,NIFTY25SEP24050CE,NIFTY,1867.6,25-Sep-2025,24050,0.05,75,OPTIDX,CE,NSE_FO
NSE_FO|60363,60363,NIFTY25SEP23950CE,NIFTY,1955.7,25-Sep-2025,23950,0.05,75,OPTIDX,CE,NSE_FO
